COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bhutan,BTN,SEARO,REPORTING,10/30/2022,2011426,699116,261,91,677669,88,,3/27/2021,,634641,82
Namibia,NAM,AFRO,REPORTING,11/12/2023,1005937,629767,40,25,550978,22,,3/19/2021,,298560,12
Iran (Islamic Republic of),IRN,EMRO,REPORTING,11/26/2023,1.55E+08,6.52E+07,185,78,5.86E+07,70,,2/9/2021,,3.14E+07,37
Kenya,KEN,AFRO,REPORTING,4/2/2023,2.38E+07,1.45E+07,44,27,1.11E+07,21,,3/5/2021,,2000636,4
Greenland,GRL,EURO,REPORTING,,,,,,,,,,,,
Comoros,COM,AFRO,REPORTING,10/2/2022,835021,438825,96,50,397080,46,,4/10/2021,,,
Mozambique,MOZ,AFRO,REPORTING,7/2/2023,3.50E+07,2.29E+07,112,73,2.13E+07,68,,3/8/2021,,2323562,7
Viet Nam,VNM,WPRO,REPORTING,6/30/2023,2.66E+08,9.05E+07,274,93,8.60E+07,88,,3/8/2021,,5.80E+07,60
India,IND,SEARO,REPORTING,11/23/2023,2.21E+09,1.03E+09,160,74,9.52E+08,69,,1/16/2021,,2.29E+08,17
Bulgaria,BGR,EURO,REPORTING,9/24/2023,4618931,2108544,66,30,2080324,30,,12/30/2020,,833135,12
Malaysia,MYS,WPRO,REPORTING,10/26/2023,7.27E+07,2.81E+07,224,87,2.76E+07,85,,2/24/2021,,1.63E+07,51
Venezuela (Bolivarian Republic of),VEN,AMRO,REPORTING,6/2/2023,3.79E+07,2.22E+07,133,78,1.43E+07,50,,2/22/2021,,651502,2
Bahamas,BHS,AMRO,REPORTING,6/2/2023,366359,174810,93,44,166972,42,,3/14/2021,,33717,9
Georgia,GEO,EURO,REPORTING,5/28/2023,2739270,1300867,69,33,1187212,30,,3/17/2021,,251191,6
Somalia,SOM,EMRO,REPORTING,7/25/2023,1.06E+07,8972167,66,56,7666835,48,,3/16/2021,,28134,
Maldives,MDV,SEARO,REPORTING,5/25/2023,951764,399308,176,74,385167,71,,2/1/2021,,167289,31
Ecuador,ECU,AMRO,REPORTING,3/24/2023,3.96E+07,1.48E+07,224,84,1.42E+07,81,,1/20/2021,,7732930,44
Kyrgyzstan,KGZ,EURO,REPORTING,6/18/2023,3167393,1528725,49,23,1337850,21,,3/31/2021,,300818,5
Tuvalu,TUV,WPRO,REPORTING,2/1/2023,26783,9763,227,83,9505,81,,4/13/2021,,5745,49
United Arab Emirates,ARE,EMRO,REPORTING,7/6/2022,2.49E+07,9991089,252,100,9792266,99,,,,5138699,52
Burkina Faso,BFA,AFRO,REPORTING,7/23/2023,7893609,6089089,38,29,5232347,25,,6/2/2021,,4056,
Sweden,SWE,EURO,REPORTING,10/1/2023,2.32E+07,7564745,225,73,7404465,72,,12/23/2020,,5542831,54
Rwanda,RWA,AFRO,REPORTING,6/4/2023,2.73E+07,1.09E+07,211,84,1.04E+07,80,,3/5/2021,,5879013,45
Malawi,MWI,AFRO,REPORTING,9/24/2023,8503954,5433538,44,28,4288014,22,,3/11/2021,,1232829,6
Haiti,HTI,AMRO,REPORTING,6/16/2023,669130,521396,6,5,355379,3,,,,,
Luxembourg,LUX,EURO,REPORTING,10/1/2023,1337942,469286,214,75,462732,74,,12/30/2020,,368526,59
South Africa,ZAF,AFRO,REPORTING,9/24/2023,4.18E+07,2.42E+07,70,41,2.10E+07,35,,2/17/2021,,4410601,7
Norway,NOR,EURO,REPORTING,9/3/2023,1.23E+07,4347197,230,81,4062204,76,,12/23/2020,,3020434,56
Nauru,NRU,WPRO,REPORTING,2/20/2023,32157,13106,297,100,11346,100,,4/9/2021,,7705,71
Finland,FIN,EURO,REPORTING,10/1/2023,1.33E+07,4547671,240,82,4365148,79,,12/23/2020,,3088731,56
North Macedonia,MKD,EURO,REPORTING,5/7/2023,1862987,854570,89,41,838181,40,,2/17/2021,,161633,8
Benin,BEN,AFRO,REPORTING,12/18/2022,4232541,3697190,35,30,2742837,23,,3/29/2021,,,
Honduras,HND,AMRO,REPORTING,8/11/2023,1.71E+07,6596213,172,67,5853689,59,,2/22/2021,,4872295,49
Suriname,SUR,AMRO,REPORTING,6/2/2023,554588,267820,95,46,237879,41,,2/23/2021,,48889,8
Saint Kitts and Nevis,KNA,AMRO,REPORTING,6/2/2023,64297,33794,121,64,27000,51,,2/22/2021,,3465,7
Democratic Republic of the Congo,COD,AFRO,REPORTING,6/4/2023,1.88E+07,1.70E+07,21,19,1.44E+07,16,,4/19/2021,,,
Denmark,DNK,EURO,REPORTING,10/1/2023,1.51E+07,5289049,260,91,4779951,82,,12/16/2020,,3664722,63
Pakistan,PAK,EMRO,REPORTING,11/14/2023,3.41E+08,1.66E+08,154,75,1.40E+08,64,,2/3/2021,,5.32E+07,24
Anguilla,AIA,AMRO,REPORTING,10/20/2023,24864,10858,166,72,10382,69,,2/5/2021,,3231,22
Grenada,GRD,AMRO,REPORTING,6/2/2023,90686,44241,81,39,39034,35,,2/15/2021,,7411,7
Sri Lanka,LKA,SEARO,REPORTING,10/30/2022,4.01E+07,1.71E+07,187,80,1.48E+07,69,,1/29/2021,,8220002,38
Sierra Leone,SLE,AFRO,REPORTING,7/30/2023,9155936,5676123,115,71,4961886,62,,3/15/2021,,1201709,15
Vanuatu,VUT,WPRO,REPORTING,2/20/2023,355430,176624,116,58,162250,53,,6/2/2021,,16556,5
Liberia,LBR,AFRO,REPORTING,12/11/2022,4460668,3903802,88,77,3730967,74,,4/1/2021,,1987,
Antigua and Barbuda,ATG,AMRO,REPORTING,6/2/2023,136512,64290,139,66,62384,64,,3/1/2021,,9838,10
Australia,AUS,WPRO,REPORTING,10/5/2023,6.88E+07,2.24E+07,270,88,2.18E+07,85,,2/21/2021,,1.44E+07,56
Singapore,SGP,WPRO,REPORTING,8/29/2023,1.53E+07,5287005,262,90,5248693,90,,12/30/2020,,4769158,82
Botswana,BWA,AFRO,REPORTING,5/7/2023,3171667,1951054,135,83,1663490,71,,3/26/2021,,507654,22
Portugal,PRT,EURO,REPORTING,10/1/2023,2.79E+07,9822021,271,95,8910340,87,,12/23/2020,,7086988,69
Myanmar,MMR,SEARO,REPORTING,8/21/2023,9.35E+07,4.16E+07,172,76,3.59E+07,66,,1/27/2021,,1.60E+07,29
Senegal,SEN,AFRO,REPORTING,11/12/2023,3179647,2684696,19,16,1546628,9,,2/23/2021,,815965,5
Dominica,DMA,AMRO,REPORTING,6/2/2023,67647,32995,94,46,30659,43,,2/12/2021,,3993,6
New Caledonia,NCL,WPRO,REPORTING,4/3/2023,480497,192371,168,67,184801,65,,1/20/2021,,103325,36
Nicaragua,NIC,AMRO,REPORTING,8/11/2023,1.55E+07,6404524,234,97,6126708,92,,3/3/2021,,2892531,44
Indonesia,IDN,SEARO,REPORTING,11/23/2023,4.48E+08,2.04E+08,164,75,1.75E+08,64,,1/13/2021,,6.94E+07,25
French Polynesia,PYF,WPRO,REPORTING,7/17/2023,493692,195688,176,70,195688,70,,1/18/2021,,102317,36
Iceland,ISL,EURO,REPORTING,4/16/2023,869976,307269,239,84,297921,82,,12/30/2020,,254556,70
Jamaica,JAM,AMRO,REPORTING,10/6/2023,1528445,722248,52,24,760132,26,,3/10/2021,,46065,2
Turkmenistan,TKM,EURO,REPORTING,8/6/2023,1.68E+07,4614869,278,77,4568901,76,,2/24/2021,,3816400,63
Tokelau,TKL,WPRO,REPORTING,12/5/2022,6342,2203,470,100,2203,100,,7/20/2021,,968,72
San Marino,SMR,EURO,REPORTING,5/22/2022,69338,26357,204,78,23633,70,,2/24/2021,,19348,57
Kiribati,KIR,WPRO,REPORTING,2/6/2023,219980,100900,184,84,81474,68,,5/26/2021,,37606,31
Poland,POL,EURO,REPORTING,10/1/2023,5.82E+07,2.30E+07,153,61,2.27E+07,60,,12/23/2020,,1.25E+07,33
Lithuania,LTU,EURO,REPORTING,10/1/2023,4532726,1956489,162,70,1907062,68,,12/23/2020,,902114,32
Lesotho,LSO,AFRO,REPORTING,3/19/2023,1339097,1014073,63,47,938088,44,,3/10/2021,,177816,8
China,CHN,WPRO,REPORTING,4/20/2023,3.52E+09,1.32E+09,239,90,1.28E+09,87,,7/22/2020,,8.34E+08,57
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,8/25/2023,1.61E+07,6506721,138,56,6307628,54,,1/30/2021,,2521192,22
Latvia,LVA,EURO,REPORTING,8/13/2023,2979624,1344386,156,70,1304787,68,,12/30/2020,,550901,29
Seychelles,SYC,AFRO,REPORTING,4/9/2023,224558,88520,228,90,83565,85,,1/10/2021,,44936,46
Monaco,MCO,EURO,REPORTING,12/4/2022,71027,28875,181,74,24933,64,,6/30/2021,,17806,45
Albania,ALB,EURO,REPORTING,9/10/2023,3088966,1349255,107,47,1279333,44,,1/13/2021,,402371,14
Chile,CHL,AMRO,REPORTING,11/17/2023,6.69E+07,1.75E+07,350,92,1.77E+07,93,,12/21/2020,,1.58E+07,83
Kuwait,KWT,EMRO,REPORTING,11/26/2023,8261221,3457498,193,81,3346176,78,,12/28/2020,,1457547,34
Belize,BLZ,AMRO,REPORTING,10/6/2023,511002,236221,129,59,221454,56,,3/1/2021,,53189,13
South Sudan,SSD,AFRO,REPORTING,10/1/2023,4365547,4315127,39,39,4273253,38,,4/6/2021,,513122,5
Bermuda,BMU,AMRO,REPORTING,8/11/2023,136759,48554,220,78,47657,77,,1/11/2021,,32016,51
Cabo Verde,CPV,AFRO,REPORTING,9/25/2022,859940,356734,155,64,308720,56,,3/18/2021,,749,
Costa Rica,CRI,AMRO,REPORTING,10/6/2023,1.36E+07,4650636,267,91,4369784,86,,12/24/2020,,2986527,59
Panama,PAN,AMRO,REPORTING,10/6/2023,9169341,3746041,213,87,3175368,74,,1/20/2021,,1770362,41
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,59,29,846080,26,,,,,
Serbia,SRB,EURO,REPORTING,3/5/2023,6722671,3398116,97,49,3324555,48,,12/23/2020,,,
Cook Islands,COK,WPRO,REPORTING,1/31/2023,40080,15112,228,86,14728,84,,5/17/2021,,10240,58
Cuba,CUB,AMRO,REPORTING,11/17/2023,3.82E+07,9916126,337,88,1.00E+07,89,,,,8778841,78
Libya,LBY,EMRO,REPORTING,1/16/2023,3739158,2316327,54,34,1236102,18,,4/11/2021,,186729,3
Fiji,FJI,WPRO,REPORTING,6/29/2023,1555182,712025,173,79,641194,72,,3/7/2021,,172078,19
United Republic of Tanzania,TZA,AFRO,REPORTING,3/12/2023,3.94E+07,3.44E+07,66,58,3.22E+07,54,,7/28/2021,,,
Dominican Republic,DOM,AMRO,REPORTING,11/17/2023,1.64E+07,7360900,151,68,6126215,56,,2/16/2021,,2571636,24
Aruba,ABW,AMRO,REPORTING,11/17/2023,217070,90493,203,85,84349,79,,2/17/2021,,35659,33
Croatia,HRV,EURO,REPORTING,10/1/2023,5435966,2320278,134,57,2246622,55,,12/23/2020,,996098,25
Ethiopia,ETH,AFRO,REPORTING,5/28/2023,6.89E+07,5.25E+07,60,46,4.37E+07,38,,3/13/2021,,5978070,5
Togo,TGO,AFRO,REPORTING,11/19/2023,3423181,2255579,41,27,1554066,19,,3/10/2021,,427804,5
Eswatini,SWZ,AFRO,REPORTING,6/4/2023,870205,526050,75,45,427335,37,,3/19/2021,,179450,15
Guinea,GIN,AFRO,REPORTING,9/24/2023,1.20E+07,8715641,92,66,5853990,45,,3/5/2021,,425378,3
Cyprus,CYP,EURO,REPORTING,9/17/2023,1858992,669230,209,75,656139,74,,12/23/2020,,487409,55
Papua New Guinea,PNG,WPRO,REPORTING,11/5/2023,540974,396922,6,4,335728,4,,3/30/2021,,37105,
Ghana,GHA,AFRO,REPORTING,7/2/2023,2.56E+07,1.39E+07,82,45,1.08E+07,35,,3/2/2021,,4806017,15
Hungary,HUN,EURO,REPORTING,10/1/2023,1.66E+07,6358690,170,65,6152042,63,,12/23/2020,,3868705,40
Nepal,NPL,SEARO,REPORTING,11/23/2023,6.26E+07,2.79E+07,215,96,2.45E+07,84,,1/27/2021,,1.03E+07,35
Saint Vincent and the Grenadines,VCT,AMRO,REPORTING,6/2/2023,73443,37532,66,34,31632,29,,2/1/2021,,4279,4
Timor-Leste,TLS,SEARO,REPORTING,11/22/2023,2028798,886838,154,67,801759,61,,4/7/2021,,340201,26
Brunei Darussalam,BRN,WPRO,REPORTING,6/30/2023,1293100,451149,296,100,446714,100,,4/3/2021,,340466,78
Algeria,DZA,AFRO,REPORTING,9/4/2022,1.53E+07,7840131,35,18,6481186,15,,1/30/2021,,575651,1
Russian Federation,RUS,EURO,REPORTING,9/27/2023,1.87E+08,8.91E+07,128,61,7.97E+07,55,,,,,
Jordan,JOR,EMRO,REPORTING,8/21/2022,1.01E+07,4821579,99,47,4558313,45,,1/13/2021,,682211,7
Montserrat,MSR,AMRO,REPORTING,6/2/2023,4619,2104,92,42,1952,39,,2/8/2021,,563,11
British Virgin Islands,VGB,AMRO,REPORTING,6/2/2023,41453,19466,137,64,18261,60,,2/11/2021,,3726,12
Ukraine,UKR,EURO,REPORTING,2/27/2022,3.17E+07,1.58E+07,72,36,1.52E+07,35,,2/24/2021,,741197,2
Azerbaijan,AZE,EURO,REPORTING,9/24/2023,1.38E+07,5436662,136,54,4888112,48,,1/20/2021,,3504588,35
Philippines,PHL,WPRO,REPORTING,3/19/2023,1.89E+08,8.27E+07,173,75,7.84E+07,72,,3/1/2021,,2.38E+07,22
Chad,TCD,AFRO,REPORTING,11/19/2023,9148883,5146338,56,31,5019031,31,,6/4/2021,,4042573,25
Cameroon,CMR,AFRO,REPORTING,10/15/2023,4880572,3753733,18,14,3197286,12,,4/12/2021,,803560,3
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),XKX,EURO,REPORTING,1/15/2023,1836901,904558,102,50,824752,46,,3/31/2021,,105624,6
Zambia,ZMB,AFRO,REPORTING,6/25/2023,1.36E+07,1.17E+07,74,64,9155551,50,,4/14/2021,,1414619,8
Belarus,BLR,EURO,REPORTING,9/3/2023,2.25E+07,6536392,238,69,6414996,68,,2/3/2021,,5720777,61
Congo,COG,AFRO,REPORTING,7/31/2022,833210,695760,15,13,654119,12,,3/23/2021,,,
Nigeria,NGA,AFRO,REPORTING,11/5/2023,1.33E+08,9.38E+07,65,46,8.13E+07,39,,3/5/2021,,1.68E+07,8
New Zealand,NZL,WPRO,REPORTING,4/21/2023,1.23E+07,4259911,254,88,4096278,85,,2/19/2021,,2719283,56
Belgium,BEL,EURO,REPORTING,9/3/2023,2.91E+07,9255132,253,80,9158814,79,,12/30/2020,,7245372,63
Bahrain,BHR,EMRO,REPORTING,12/21/2022,3476633,1241174,204,73,1226796,72,,11/4/2020,,1008663,59
Sudan,SDN,EMRO,REPORTING,4/2/2023,2.26E+07,1.52E+07,52,35,1.34E+07,31,,3/9/2021,,3891363,9
Syrian Arab Republic,SYR,EMRO,REPORTING,4/18/2023,5090630,3295630,29,19,2358365,13,,4/1/2021,,75881,
Saint Helena,SHN,,REPORTING,,,,,,,,,,,,
Israel,ISR,EURO,REPORTING,6/5/2022,1.79E+07,7055466,207,82,6385731,74,,12/16/2020,,4474108,52
"occupied Palestinian territory, including east Jerusalem",PSE,EMRO,REPORTING,10/18/2022,3748571,2012767,73,39,1776973,35,,2/2/2021,,336967,7
Uganda,UGA,AFRO,REPORTING,5/28/2023,2.64E+07,2.00E+07,58,44,1.31E+07,29,,3/10/2021,,764664,2
"Taiwan, China",TWN,,REPORTING,,,,,,,,,,,,
"China, Macao SAR",MAC,WPRO,REPORTING,,,,,,,,,,,,
Germany,DEU,EURO,REPORTING,9/3/2023,1.93E+08,6.49E+07,232,78,6.36E+07,76,,12/23/2020,,5.21E+07,63
Montenegro,MNE,EURO,REPORTING,12/4/2022,526975,272610,84,43,254365,40,,2/24/2021,,,
Tonga,TON,WPRO,REPORTING,6/30/2023,204737,87375,194,83,77390,73,,4/14/2021,,38588,37
Andorra,AND,EURO,REPORTING,9/24/2023,157072,57913,203,75,53501,69,,1/20/2021,,43071,56
Tunisia,TUN,EMRO,REPORTING,6/20/2023,1.33E+07,7218871,112,61,6401841,54,,3/13/2021,,1258577,11
Czechia,CZE,EURO,REPORTING,10/1/2023,1.86E+07,6972320,174,65,6887986,64,,12/23/2020,,4366166,41
Turks and Caicos Islands,TCA,AMRO,REPORTING,6/2/2023,73907,32815,191,85,30710,79,,1/11/2021,,7443,19
Peru,PER,AMRO,REPORTING,11/17/2023,9.10E+07,3.05E+07,276,93,2.87E+07,87,,2/9/2021,,2.22E+07,67
Yemen,YEM,EMRO,REPORTING,11/26/2023,1298447,1050112,4,4,806967,3,,4/20/2021,,68808,
Saint Lucia,LCA,AMRO,REPORTING,6/2/2023,122977,60140,67,33,54971,30,,2/17/2021,,7866,4
Netherlands (Kingdom of the),NLD,EURO,REPORTING,10/1/2023,3.76E+07,1.35E+07,216,77,1.24E+07,71,,12/30/2020,,9417108,54
"China, Hong Kong SAR",HKG,WPRO,REPORTING,,,,,,,,,,,,
Slovenia,SVN,EURO,REPORTING,10/1/2023,3027801,1252307,144,60,1207760,58,,12/23/2020,,654233,31
Madagascar,MDG,AFRO,REPORTING,7/30/2023,3092063,2710365,11,10,2628849,9,,5/10/2021,,169187,1
Thailand,THA,SEARO,REPORTING,9/1/2023,1.43E+08,5.77E+07,204,83,5.42E+07,78,,2/28/2021,,3.21E+07,46
Gambia,GMB,AFRO,REPORTING,3/19/2023,1444492,674314,60,28,539186,22,,3/10/2021,,53741,2
Malta,MLT,EURO,REPORTING,9/3/2023,1280176,450535,249,88,444904,86,,12/23/2020,,352640,69
Paraguay,PRY,AMRO,REPORTING,9/22/2023,9867488,4005930,138,56,3549775,50,,2/22/2021,,1660766,23
Argentina,ARG,AMRO,REPORTING,11/17/2023,1.17E+08,4.12E+07,258,91,3.81E+07,84,,12/29/2020,,2.76E+07,61
Zimbabwe,ZWE,AFRO,REPORTING,11/19/2023,1.39E+07,7525247,94,51,5660934,38,,2/18/2021,,2298971,15
Djibouti,DJI,EMRO,REPORTING,10/8/2023,442199,421573,45,43,401208,41,,3/15/2021,,,
Austria,AUT,EURO,REPORTING,7/2/2023,2.04E+07,6899873,229,78,6682372,75,,12/30/2020,,5405966,61
Gabon,GAB,AFRO,REPORTING,2/5/2023,572672,311244,26,14,257471,12,,3/23/2021,,2592,
Türkiye,TUR,EURO,REPORTING,1/29/2023,1.52E+08,5.79E+07,181,69,5.32E+07,63,,,,2.79E+07,33
Cayman Islands,CYM,AMRO,REPORTING,6/9/2023,151970,62113,231,95,60688,92,,1/15/2021,,24064,37
Uruguay,URY,AMRO,REPORTING,11/17/2023,9036443,3010464,260,87,2903096,84,,2/27/2021,,2080828,60
Niger,NER,AFRO,REPORTING,7/30/2023,7372208,6248483,30,26,5483001,23,,3/29/2021,,,
Central African Republic,CAF,AFRO,REPORTING,9/3/2023,3342248,2600389,69,54,2484985,51,,3/19/2021,,366221,8
Samoa,WSM,WPRO,REPORTING,2/24/2023,453130,191403,228,96,177954,90,,4/18/2021,,82268,41
Romania,ROU,EURO,REPORTING,9/10/2023,1.61E+07,8188146,83,42,8142376,42,,1/27/2021,,1768917,9
Qatar,QAT,EMRO,REPORTING,5/7/2023,7609178,2852178,264,99,2852178,99,,,,1904822,66
United States of America,USA,AMRO,REPORTING,7/14/2023,7.12E+08,2.70E+08,215,82,2.31E+08,70,,12/14/2020,,1.18E+08,36
El Salvador,SLV,AMRO,REPORTING,8/25/2023,1.14E+07,4659970,177,72,4396448,68,,2/17/2021,,1905226,29
Mongolia,MNG,WPRO,REPORTING,3/17/2023,5668144,2284018,173,70,2185282,67,,2/23/2021,,1058839,32
Tajikistan,TJK,EURO,REPORTING,6/4/2023,2.05E+07,5328277,215,56,5191919,54,,3/24/2021,,5280117,55
Lao People's Democratic Republic,LAO,WPRO,REPORTING,5/21/2023,1.39E+07,6324678,191,87,5691962,78,,11/25/2020,,2451034,34
Mali,MLI,AFRO,REPORTING,5/14/2023,5922585,4354292,29,22,3633589,18,,3/31/2021,,,
Cambodia,KHM,WPRO,REPORTING,11/7/2023,4.77E+07,1.53E+07,285,92,1.47E+07,88,,2/10/2021,,1.08E+07,64
Brazil,BRA,AMRO,REPORTING,11/17/2023,5.16E+08,1.85E+08,243,87,1.73E+08,81,,1/17/2021,,1.11E+08,52
Italy,ITA,EURO,REPORTING,10/1/2023,1.50E+08,5.06E+07,252,85,4.95E+07,83,,12/23/2020,,4.49E+07,75
Barbados,BRB,AMRO,REPORTING,9/22/2023,381743,163853,133,57,155045,54,,1/8/2021,,62845,22
Ireland,IRL,EURO,REPORTING,9/17/2023,1.24E+07,4108813,250,83,4063151,82,,12/30/2020,,3058389,62
Switzerland,CHE,EURO,REPORTING,7/2/2023,1.68E+07,6096600,194,70,5723066,66,,12/23/2020,,4996650,58
Saudi Arabia,SAU,EMRO,REPORTING,4/25/2023,6.85E+07,2.70E+07,197,78,2.54E+07,73,,1/6/2021,,1.61E+07,46
Colombia,COL,AMRO,REPORTING,6/2/2023,9.05E+07,4.30E+07,178,85,3.70E+07,73,,2/17/2021,,1.48E+07,29
Lebanon,LBN,EMRO,REPORTING,12/22/2022,5814699,2740227,85,40,2414223,35,,2/14/2021,,660249,10
Republic of Korea,KOR,WPRO,REPORTING,9/4/2023,1.36E+08,4.51E+07,265,88,4.47E+07,87,,2/26/2021,,3.36E+07,66
Trinidad and Tobago,TTO,AMRO,REPORTING,6/2/2023,1589640,754399,114,54,718969,51,,2/17/2021,,174836,12
Slovakia,SVK,EURO,REPORTING,10/1/2023,7222567,2840027,132,52,2791711,51,,12/23/2020,,1686463,31
Armenia,ARM,EURO,REPORTING,10/1/2023,2256919,1150915,76,39,1030758,35,,1/27/2021,,81354,3
Guyana,GUY,AMRO,REPORTING,9/8/2023,967861,497550,123,63,384507,49,,2/11/2021,,80224,10
Mexico,MEX,AMRO,REPORTING,6/30/2023,2.23E+08,9.67E+07,173,75,8.14E+07,63,,12/24/2020,,5.70E+07,44
United Kingdom of Great Britain and Northern Ireland,GBR,EURO,REPORTING,9/11/2022,1.51E+08,5.38E+07,223,79,5.08E+07,75,,12/21/2020,,,
Gibraltar,GIB,,REPORTING,,,,,,,,,,,,
Kazakhstan,KAZ,EURO,REPORTING,4/30/2023,3.84E+07,1.24E+07,204,66,1.31E+07,70,,4/7/2021,,6801526,36
Canada,CAN,AMRO,REPORTING,9/22/2023,9.90E+07,3.26E+07,262,87,3.13E+07,83,,12/14/2020,,1.99E+07,53
France,FRA,EURO,REPORTING,7/9/2023,1.58E+08,5.47E+07,243,84,5.32E+07,82,,12/23/2020,,4.10E+07,63
Mauritania,MRT,AFRO,REPORTING,11/19/2023,4075874,2103754,88,45,1540597,33,,3/26/2021,,383937,8
Palau,PLW,WPRO,REPORTING,3/10/2023,51032,20295,282,100,18278,100,,1/3/2021,,12885,71
Iraq,IRQ,EMRO,REPORTING,1/2/2023,1.96E+07,1.13E+07,49,28,7944775,20,,3/2/2021,,275280,1
Burundi,BDI,AFRO,REPORTING,11/5/2023,41538,36909,,,36321,,,10/18/2021,,314,
Oman,OMN,EMRO,REPORTING,10/25/2022,7108547,3279632,139,64,3048826,60,,12/29/2020,,779859,15
Sao Tome and Principe,STP,AFRO,REPORTING,7/30/2023,263863,140256,120,64,111986,51,,3/15/2021,,34624,16
Uzbekistan,UZB,EURO,REPORTING,9/24/2023,8.22E+07,2.21E+07,246,66,1.84E+07,55,,4/28/2021,,1.63E+07,49
Solomon Islands,SLB,WPRO,REPORTING,7/4/2023,612700,335796,89,49,254016,37,,3/23/2021,,27896,4
Mauritius,MUS,AFRO,REPORTING,7/30/2023,2616012,1123773,206,88,1088142,86,,1/26/2021,,654507,51
Angola,AGO,AFRO,REPORTING,11/19/2023,2.77E+07,1.65E+07,84,50,9591203,29,,3/10/2021,,3014421,9
Republic of Moldova,MDA,EURO,REPORTING,10/1/2023,2291436,1109270,57,27,1078813,27,,3/3/2021,,404774,10
Bangladesh,BGD,SEARO,REPORTING,10/18/2023,3.62E+08,1.52E+08,220,92,1.42E+08,86,,1/27/2021,,6.85E+07,42
Estonia,EST,EURO,REPORTING,10/1/2023,2205229,845148,166,64,842177,63,,12/23/2020,,487389,37
Morocco,MAR,EMRO,REPORTING,5/14/2023,5.54E+07,2.50E+07,150,68,2.35E+07,64,,1/28/2021,,6925973,19
Guatemala,GTM,AMRO,REPORTING,11/17/2023,2.04E+07,8937923,114,50,7130756,40,,2/25/2021,,3723701,21
Greece,GRC,EURO,REPORTING,10/1/2023,2.20E+07,7917288,205,74,7745574,72,,12/23/2020,,5902357,55
Wallis and Futuna,WLF,WPRO,REPORTING,1/23/2023,17303,7150,154,64,6803,60,,3/19/2021,,3350,30
Afghanistan,AFG,EMRO,REPORTING,11/26/2023,2.26E+07,1.89E+07,58,49,1.81E+07,47,,2/22/2021,,2626670,7
Niue,NIU,WPRO,REPORTING,3/4/2023,4923,1638,304,100,1635,100,,6/8/2021,,1225,76
Japan,JPN,WPRO,REPORTING,10/3/2023,4.10E+08,1.05E+08,324,83,1.03E+08,82,,2/17/2021,,8.66E+07,68
Spain,ESP,EURO,REPORTING,9/3/2023,1.13E+08,4.13E+07,238,87,3.75E+07,79,,12/30/2020,,2.66E+07,56
Guinea-Bissau,GNB,AFRO,REPORTING,10/15/2023,920752,747057,47,38,547637,28,,4/2/2021,,76359,4
Liechtenstein,LIE,,REPORTING,,71104,26681,,,26346,,,,,18310,
Côte d'Ivoire,CIV,AFRO,REPORTING,2/19/2023,2.53E+07,1.36E+07,96,51,1.22E+07,46,,3/1/2021,,3138712,12
Equatorial Guinea,GNQ,AFRO,REPORTING,7/24/2022,488738,270109,35,19,214032,15,,2/12/2021,,4597,
Egypt,EGY,EMRO,REPORTING,5/21/2023,1.13E+08,5.69E+07,110,56,4.23E+07,41,,1/24/2021,,1.52E+07,15
